al_recovery,cu_recovery,al_purity,cu_purity,unresolved_fraction,objective,top_cu_true_fraction,heavy_al_true_fraction,window,flow_m3_h,duty
0.0,0.0,0.0,0.0,1.0,-0.04,0.0,0.0,1,84.0,0.5
0.0,0.0,0.0,0.0,1.0,-0.04,0.0,0.0,2,84.0,0.5
