time_s,air_velocity_m_s,top_count,bottom_count,flow_setpoint_m3_h
0.008,1.2409443820497217,0,68,75.0
0.016,1.4968309397465347,0,68,75.0
0.024,1.706333133832179,0,68,75.0
0.032,1.8778590229674081,0,68,75.0
0.04,2.0182925433514645,0,68,75.0
0.048,2.133269785252895,0,68,75.0
0.056,2.227405189101683,0,68,75.0
0.064,2.304476739186101,0,68,75.0
0.07200000000000001,2.3675775874276037,0,68,75.0
0.08000000000000002,2.4192401924282287,0,68,75.0
0.08800000000000002,2.4615379559263606,0,68,75.0
0.09600000000000003,2.496168435688701,0,68,75.0
0.10400000000000004,2.5245214744639735,0,68,75.0
0.11200000000000004,2.5477349792525015,0,68,75.0
0.12000000000000005,2.566740589509592,0,68,75.0
0.12800000000000006,2.5823010671080864,0,68,75.0
0.13600000000000007,2.282500361303556,0,68,75.0
0.14400000000000007,2.037044303666902,0,68,75.0
0.15200000000000008,1.8360818807504926,0,68,75.0
0.1600000000000001,1.6715477648957644,0,68,75.0
0.1680000000000001,1.5368386243150027,0,68,75.0
0.1760000000000001,1.4265481082008282,0,68,75.0
0.1840000000000001,1.3362498708853108,0,68,75.0
0.19200000000000012,1.2623199270463628,0,68,75.0
0.20000000000000012,1.201791208452088,0,68,75.0
0.20800000000000013,1.1522344850945523,0,68,75.0
0.21600000000000014,1.1116608716599596,0,68,75.0
0.22400000000000014,1.0784420065775608,0,68,75.0
0.23200000000000015,1.0512447001522525,0,68,75.0
0.24000000000000016,1.0289774289809672,0,68,75.0
0.24800000000000016,1.0107465292859092,0,68,75.0
0.25600000000000017,0.9958203310492851,0,68,75.0
0.2640000000000002,1.2961403408734218,0,68,75.0
0.2720000000000002,1.542021568681124,0,68,75.0
0.2800000000000002,1.743332091491863,0,68,75.0
0.2880000000000002,1.9081512074352216,0,68,75.0
0.2960000000000002,2.0430936863531746,0,68,75.0
0.3040000000000002,2.15357524373988,0,68,75.0
0.3120000000000002,2.2440298924203255,0,68,75.0
0.32000000000000023,2.3180878950538713,0,68,75.0
0.32800000000000024,2.378721459321485,0,68,75.0
0.33600000000000024,2.4283640230561105,0,68,75.0
0.34400000000000025,2.4690079166472825,0,68,75.0
0.35200000000000026,2.502284322255204,0,68,75.0
0.36000000000000026,2.529528738878306,0,68,75.0
0.36800000000000027,2.5518345806173084,0,68,75.0
0.3760000000000003,2.57009705922232,0,68,75.0
0.3840000000000003,2.272508564736673,0,68,75.0
0.3920000000000003,2.0288637125390965,0,68,75.0
0.4000000000000003,1.8293841792158008,0,68,75.0
