time_s,stage,flow_m3_h,delta_flow_m3_h,reason,camera_top_cu_fraction,camera_top_al_fraction,camera_bottom_cu_fraction,camera_bottom_al_fraction,pred_al_recovery_top,pred_al_purity_top,pred_cu_recovery_bottom,pred_cu_purity_bottom,pred_cu_fraction_top,pred_unresolved
0.0,3,84.0,0.0,initial operating point,,,,,,,,,,
0.7520000000000006,3,85.0,1.0,Residual Al in Cu-rich bottom -> increase one step,0.0,0.0,0.7021276595744681,0.2765957446808511,0.9966427363942597,0.9444052793180026,7.527056788319509e-10,0.3454980643228129,3.597877788402111e-05,0.6182912067157181
1.5040000000000011,3,86.0,1.0,Residual Al in Cu-rich bottom -> increase one step,0.0,0.0,0.7021276595744681,0.2553191489361702,0.9966427363942597,0.9444052793180026,7.527056788319509e-10,0.3454980643228129,3.597877788402111e-05,0.6182912067157181
2.2560000000000016,3,87.0,1.0,Residual Al in Cu-rich bottom -> increase one step,0.0,0.0,0.6595744680851063,0.3191489361702128,0.9999712370116813,0.94189173307313,6.083774703818257e-09,0.9386466382222598,0.0027027988257125857,0.615994370592681
3.000000000000002,3,88.0,1.0,Residual Al in Cu-rich bottom -> increase one step,0.0,0.0,0.723404255319149,0.2765957446808511,0.9999712370116813,0.94189173307313,6.083774703818257e-09,0.9386466382222598,0.0027027988257125857,0.615994370592681
3.752000000000003,3,89.0,1.0,Residual Al in Cu-rich bottom -> increase one step,0.0,0.0,0.6595744680851063,0.2765957446808511,0.9999712370116813,0.94189173307313,6.083774703818257e-09,0.9386466382222598,0.0027027988257125857,0.615994370592681
4.504000000000003,3,90.0,1.0,Residual Al in Cu-rich bottom -> increase one step,0.0,0.0,0.7021276595744681,0.2978723404255319,0.9999712370116813,0.94189173307313,6.083774703818257e-09,0.9386466382222598,0.0027027988257125857,0.615994370592681
5.256000000000004,3,91.0,1.0,Residual Al in Cu-rich bottom -> increase one step,0.0,0.0,0.6808510638297872,0.2978723404255319,0.9999712370116813,0.94189173307313,6.083774703818257e-09,0.9386466382222598,0.0027027988257125857,0.615994370592681
6.000000000000004,3,90.0,-1.0,Stage-3 Cu loss too high -> decrease,0.6,0.4,0.6756756756756757,0.32432432432432434,0.9999712370116813,0.94189173307313,6.083774703818257e-09,0.9386466382222598,0.0027027988257125857,0.615994370592681
6.752000000000005,3,89.0,-1.0,Stage-3 Cu loss too high -> decrease,0.7272727272727273,0.2727272727272727,0.7222222222222222,0.2777777777777778,0.9999712370116813,0.94189173307313,6.083774703818257e-09,0.9386466382222598,0.0027027988257125857,0.615994370592681
7.504000000000006,3,88.0,-1.0,Stage-3 Cu loss too high -> decrease,1.0,0.0,0.6875,0.3125,0.9999712370116813,0.94189173307313,6.083774703818257e-09,0.9386466382222598,0.0027027988257125857,0.615994370592681
