time_s,air_velocity_m_s,top_count,bottom_count,flow_setpoint_m3_h
0.008,1.3898577078956884,0,110,84.0
0.016,1.6764506525161191,0,110,84.0
0.024,1.9110931098920407,0,110,84.0
0.032,2.103202105723497,0,110,84.0
0.04,2.2604876485536405,0,110,84.0
0.048,2.389262159483243,0,110,84.0
0.056,2.4946938117938853,0,110,84.0
0.064,2.5810139478884335,0,110,84.0
0.07200000000000001,2.6516868979189163,0,110,84.0
0.08000000000000002,2.7095490155196162,0,110,84.0
0.08800000000000002,2.756922510637524,0,110,84.0
0.09600000000000003,2.795708647971345,0,110,84.0
0.10400000000000004,2.82746405139965,0,110,84.0
0.11200000000000004,2.8534631767628014,0,110,84.0
0.12000000000000005,2.8747494602507433,0,110,84.0
0.12800000000000006,2.8921771951610573,0,110,84.0
0.13600000000000007,2.556400404659983,0,110,84.0
0.14400000000000007,2.281489620106931,0,110,84.0
0.15200000000000008,2.0564117064405516,0,110,84.0
0.1600000000000001,1.8721334966832561,0,110,84.0
0.1680000000000001,1.721259259232803,0,110,84.0
0.1760000000000001,1.5977338811849275,0,110,84.0
0.1840000000000001,1.496599855391548,0,110,84.0
0.19200000000000012,1.4137983182919265,0,110,84.0
0.20000000000000012,1.3460061534663386,0,110,84.0
0.20800000000000013,1.2905026233058985,0,110,84.0
0.21600000000000014,1.2450601762591549,0,110,84.0
0.22400000000000014,1.2078550473668683,0,110,84.0
0.23200000000000015,1.1773940641705232,0,110,84.0
0.24000000000000016,1.1524547204586837,0,110,84.0
0.24800000000000016,1.1320361128002185,0,110,84.0
0.25600000000000017,1.1153187707751997,0,110,84.0
0.2640000000000002,1.4516771817782326,0,110,84.0
0.2720000000000002,1.7270641569228593,0,110,84.0
0.2800000000000002,1.952531942470887,0,110,84.0
0.2880000000000002,2.1371293523274484,0,110,84.0
0.2960000000000002,2.288264928715556,0,110,84.0
0.3040000000000002,2.4120042729886655,0,110,84.0
0.3120000000000002,2.5133134795107646,0,110,84.0
0.32000000000000023,2.5962584424603357,0,110,84.0
