time_s,stage,flow_m3_h,delta_flow_m3_h,reason,camera_top_cu_fraction,camera_top_al_fraction,camera_bottom_cu_fraction,camera_bottom_al_fraction,pred_al_recovery_top,pred_al_purity_top,pred_cu_recovery_bottom,pred_cu_purity_bottom,pred_cu_fraction_top,pred_unresolved
0.0,2,84.0,0.0,initial operating point,,,,,,,,,,
0.7520000000000006,2,85.0,1.0,Al remains retained and Cu top is clean -> increase,0.0,0.0,0.36666666666666664,0.6111111111111112,0.9966131105598316,0.9166910851687742,9.329438456567276e-10,0.18531954057789965,1.0520333766360286e-05,0.3356089562404007
1.5040000000000011,2,86.0,1.0,Al remains retained and Cu top is clean -> increase,0.0,0.0,0.34444444444444444,0.6,0.9966131105598316,0.9166910851687742,9.329438456567276e-10,0.18531954057789965,1.0520333766360286e-05,0.3356089562404007
2.2560000000000016,2,87.0,1.0,Al remains retained and Cu top is clean -> increase,0.0,1.0,0.4222222222222222,0.5777777777777777,0.9999712108789712,0.9159528677538442,6.576494517808613e-09,0.8518394866528632,0.0007790328022253834,0.3328330074285486
3.000000000000002,2,85.0,-2.0,Cu detected in Stage-2 top -> decrease flow,0.06451612903225806,0.9354838709677419,0.6,0.38461538461538464,0.9966131105598316,0.9166910851687742,9.329438456567276e-10,0.18531954057789965,1.0520333766360286e-05,0.3356089562404007
3.752000000000003,2,83.0,-2.0,Cu detected in Stage-2 top -> decrease flow,0.2222222222222222,0.7777777777777778,0.6785714285714286,0.30357142857142855,0.9966131105598316,0.9166910851687742,9.329438456567276e-10,0.18531954057789965,1.0520333766360286e-05,0.3356089562404007
4.504000000000003,2,81.0,-2.0,Cu detected in Stage-2 top -> decrease flow,0.75,0.25,0.6538461538461539,0.34615384615384615,0.0032731076077369206,0.923724982507429,3.0520299904308097e-09,0.22415955960908268,0.0010282752509024658,0.9978345972479529
5.256000000000004,2,79.0,-2.0,Cu detected in Stage-2 top -> decrease flow,0.1864406779661017,0.7796610169491526,0.6470588235294118,0.35294117647058826,0.0032731076077369206,0.923724982507429,3.0520299904308097e-09,0.22415955960908268,0.0010282752509024658,0.9978345972479529
6.000000000000004,2,77.0,-2.0,Cu detected in Stage-2 top -> decrease flow,0.11864406779661017,0.8305084745762712,0.6470588235294118,0.2549019607843137,0.0032731076077369206,0.923724982507429,3.0520299904308097e-09,0.22415955960908268,0.0010282752509024658,0.9978345972479529
6.752000000000005,2,75.0,-2.0,Cu detected in Stage-2 top -> decrease flow,0.25,0.75,0.6808510638297872,0.2765957446808511,1.6421479086569533e-05,0.8754964401656423,7.111584032364678e-08,0.958514631093439,0.06072099671568403,0.9999885128025606
7.504000000000006,2,73.0,-2.0,Cu detected in Stage-2 top -> decrease flow,0.15873015873015872,0.8253968253968254,0.6382978723404256,0.3404255319148936,1.6421479086569533e-05,0.8754964401656423,7.111584032364678e-08,0.958514631093439,0.06072099671568403,0.9999885128025606
