time_s,stage,flow_m3_h,delta_flow_m3_h,reason,camera_top_cu_fraction,camera_top_al_fraction,camera_bottom_cu_fraction,camera_bottom_al_fraction,pred_al_recovery_top,pred_al_purity_top,pred_cu_recovery_bottom,pred_cu_purity_bottom,pred_cu_fraction_top,pred_unresolved
0.0,3,75.0,0.0,initial operating point,,,,,,,,,,
0.7520000000000006,3,76.0,1.0,Residual Al in Cu-rich bottom -> increase one step,0.0,0.0,0.45614035087719296,0.49122807017543857,0.00529495555379837,0.9997812334236079,2.415083080493664e-06,0.9829900574435714,0.0002187665763922781,0.9971185365281205
1.5040000000000011,3,77.0,1.0,Residual Al in Cu-rich bottom -> increase one step,0.0,0.0,0.42105263157894735,0.5263157894736842,0.00529495555379837,0.9997812334236079,2.415083080493664e-06,0.9829900574435714,0.0002187665763922781,0.9971185365281205
2.2560000000000016,3,78.0,1.0,Residual Al in Cu-rich bottom -> increase one step,0.0,0.0,0.47368421052631576,0.5087719298245614,0.7624407549977273,0.999986888901681,1.8304630452951298e-06,0.9800932913676056,1.3111098318885751e-05,0.5853329498739989
3.000000000000002,3,79.0,1.0,Residual Al in Cu-rich bottom -> increase one step,0.0,0.0,0.49122807017543857,0.45614035087719296,0.7624407549977273,0.999986888901681,1.8304630452951298e-06,0.9800932913676056,1.3111098318885751e-05,0.5853329498739989
3.752000000000003,3,80.0,1.0,Residual Al in Cu-rich bottom -> increase one step,0.0,0.0,0.40350877192982454,0.5614035087719298,0.7624407549977273,0.999986888901681,1.8304630452951298e-06,0.9800932913676056,1.3111098318885751e-05,0.5853329498739989
4.504000000000003,3,81.0,1.0,Residual Al in Cu-rich bottom -> increase one step,0.0,0.0,0.43859649122807015,0.543859649122807,0.7624407549977273,0.999986888901681,1.8304630452951298e-06,0.9800932913676056,1.3111098318885751e-05,0.5853329498739989
5.256000000000004,3,82.0,1.0,Residual Al in Cu-rich bottom -> increase one step,0.0,0.0,0.38596491228070173,0.5964912280701754,0.7624407549977273,0.999986888901681,1.8304630452951298e-06,0.9800932913676056,1.3111098318885751e-05,0.5853329498739989
6.000000000000004,3,83.0,1.0,Residual Al in Cu-rich bottom -> increase one step,0.0,0.0,0.43859649122807015,0.5263157894736842,0.9994521961015274,0.9993222409913547,5.535808205177935e-07,0.9963595294439489,0.0006777590086452822,0.45606937216871457
6.752000000000005,3,84.0,1.0,Residual Al in Cu-rich bottom -> increase one step,0.0,0.0,0.38596491228070173,0.543859649122807,0.9994521961015274,0.9993222409913547,5.535808205177935e-07,0.9963595294439489,0.0006777590086452822,0.45606937216871457
7.504000000000006,3,85.0,1.0,Residual Al in Cu-rich bottom -> increase one step,0.0,1.0,0.43636363636363634,0.5636363636363636,0.9994521961015274,0.9993222409913547,5.535808205177935e-07,0.9963595294439489,0.0006777590086452822,0.45606937216871457
