material,liberation_state,residual_coating_fraction,size_mm,aerodynamic_size_mm,metal_thickness_mm,coating_thickness_mm,total_thickness_mm,metal_density_kg_m3,coating_density_kg_m3,effective_density_kg_m3,areal_density_kg_m2,suspension_velocity_m_s,eq9_velocity_m_s,physical_particle_mass_kg,source_subfraction,pneumatic_fraction,statistical_mass,mill_fraction,x_m,z_m,vx_m_s,vz_m_s,dynamic_stream,exit_time_s
aluminum,partial,0.15297684059132066,0.8521927308206676,0.8521927308206676,0.0218,0.024047959340955605,0.045847959340955605,2700.0,,2359.5655014990007,0.1081812631750477,1.341970736722859,1.3030783195171152,7.856474384986108e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.016823492599525366,0.0,0.0,0.0,heavy,0.9560000000000007
aluminum,partial,0.10272061710475722,0.5146956820901397,0.5146956820901397,0.0218,0.016147681008867834,0.037947681008867834,2700.0,,2423.814887113939,0.09197815416074477,1.215725729405502,1.2015361449856805,2.436608413770849e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.010090369518305078,0.0,0.0,0.0,heavy,1.394000000000001
aluminum,bare_like,0.03638764706788393,0.955799732843404,0.955799732843404,0.0218,0.005720138119071353,0.027520138119071353,2700.0,,2565.094004460561,0.07059174129115646,1.1093959124171302,1.052619575775594,6.448930615952067e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.03063260743141168,0.0,0.0,0.0,heavy,2.2079999999999784
separator,film,,0.8263153096958409,0.8263153096958409,,,0.0139,,,900.0,0.01251,0.47219559709504205,0.44312183426231666,8.541790357882045e-09,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.026702500654686514,2.25,0.0,0.0,light,4.393999999999738
aluminum,partial,0.09320435427465762,0.9849576564053563,0.9849576564053563,0.0218,0.01465172449197618,0.03645172449197618,2700.0,,2439.1168621189213,0.08891001586169237,1.2354691504144908,1.1813262076857194,8.625530370257169e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.016212430676475976,0.0,0.0,0.0,heavy,1.2440000000000009
copper,heavily_coated,0.5217392518300481,0.350746662045906,0.350746662045906,0.012,0.07617393076718702,0.08817393076718702,8900.0,,2075.1477128802203,0.18297393076718704,1.4982711818329573,1.6946854626513346,2.2510042310363143e-08,0.25-0.50,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.03241691809212115,0.0,0.0,0.0,heavy,0.7120000000000005
aluminum,heavily_coated,0.4148577600221268,0.8706709430519028,0.8706709430519028,0.0218,0.06521563987547833,0.08701563987547833,2700.0,,2213.5594323545747,0.1926142904087339,1.7203871774541195,1.738756424073104,1.460147089210353e-07,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.02367178206830848,0.0,0.0,0.0,heavy,0.5480000000000004
aluminum,heavily_coated,0.31367115212909485,0.6345979744106143,0.6345979744106143,0.0218,0.049309105114693705,0.0711091051146937,2700.0,,2249.9329150590256,0.15999071615794147,1.5523537248540473,1.584681129065103,6.443059552152863e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.03349117264949919,0.0,0.0,0.0,heavy,0.6700000000000005
aluminum,heavily_coated,0.3585315779381092,0.9910253971346628,0.9910253971346628,0.0218,0.05636116405187076,0.07816116405187076,2700.0,,2231.980142046647,0.17445416604302577,1.6668161082210213,1.6547605839550725,1.7133690347467415e-07,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.01978683107875339,0.0,0.0,0.0,heavy,0.5800000000000004
aluminum,partial,0.19671247371339795,0.8323647286130157,0.8323647286130157,0.0218,0.030923200867746158,0.05272320086774616,2700.0,,2319.321790736413,0.12228206864993663,1.4146112207438855,1.3854022338401961,8.472081297205324e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.018575480785610034,0.0,0.0,0.0,heavy,0.8200000000000006
other_light,unresolved_nonmetal,,0.5448667555438889,0.1182994292605164,,,,,,1100.0,,0.3168866127378548,,9.316702751380996e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.01349108357870402,2.25,0.0,0.0,light,3.19399999999987
separator,film,,0.5889854510234126,0.5889854510234126,,,0.0139,,,900.0,0.01251,0.4691292479653849,0.44312183426231666,4.339767307580832e-09,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.005574650758865636,2.25,0.0,0.0,light,4.3719999999997405
aluminum,partial,0.20236391686069397,0.8446262216021317,0.8446262216021317,0.0218,0.031811607730501096,0.053611607730501096,2700.0,,2314.874626758304,0.12410415043505635,1.4249435331916291,1.3956857616342744,8.853508856164192e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.023161411168531352,0.0,0.0,0.0,heavy,0.8180000000000006
copper,partial,0.15898919267273282,0.5956604043625807,0.5956604043625807,0.012,0.02321242213021899,0.03521242213021899,8900.0,,3692.2317257648538,0.130012422130219,1.4642842224707098,1.4285219556436357,4.612987876468811e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.032496702223594076,0.0,0.0,0.0,heavy,0.7800000000000006
other_light,unresolved_nonmetal,,0.5364318930531486,0.19317756171495226,,,,,,1100.0,,0.6513339697116878,,8.890682045999375e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.02077054175448468,0.6402027144752788,3.260722593212314e-67,-0.20973722465927358,active,
separator,film,,0.6242065072036742,0.6242065072036742,,,0.0139,,,900.0,0.01251,0.4697269388345785,0.44312183426231666,4.874318383078987e-09,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.028583725411336264,2.25,0.0,0.0,light,4.37599999999974
other_light,unresolved_nonmetal,,0.767914801134705,0.1421710095934117,,,,,,1100.0,,0.41953693783784146,,2.60813713569519e-07,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.015170293845950348,2.25,0.0,0.0,light,3.8879999999997934
aluminum,partial,0.08400924740933441,0.7584381155801823,0.7584381155801823,0.0218,0.013206253692747368,0.03500625369274737,2700.0,,2455.1447924588906,0.08594542145724351,1.204483735647388,1.1614643064652888,4.943824513770567e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.010604254565617775,0.0,0.0,0.0,heavy,1.398000000000001
copper,partial,0.2194777966135134,0.9321591049780431,0.9321591049780431,0.012,0.03204375830557296,0.04404375830557296,8900.0,,3152.404872951197,0.13884375830557294,1.5294736207293391,1.4762424023053506,1.20644201355695e-07,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.018316996302505124,0.0,0.0,0.0,heavy,0.7060000000000005
copper,heavily_coated,0.6055941021924013,0.2943541103667182,0.2943541103667182,0.012,0.08841673892009058,0.10041673892009058,8900.0,,1944.0657107520665,0.1952167389200906,1.462660387171576,1.7504633483994294,1.6914425947687356e-08,0.25-0.50,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.012074166529958538,0.0,0.0,0.0,heavy,0.7520000000000006
aluminum,partial,0.14400954978919844,0.9538167878801723,0.9538167878801723,0.0218,0.022638301226862,0.044438301226862,2700.0,,2369.3551742677746,0.10529011894753547,1.332621843399468,1.2855480181621053,9.578941929769826e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.02564169192091781,0.0,0.0,0.0,heavy,0.9760000000000008
aluminum,heavily_coated,0.30104239031155255,0.6387561163636006,0.6387561163636006,0.0218,0.04732386375697607,0.06912386375697607,2700.0,,2255.647595286687,0.15591907706034766,1.537301189574771,1.5643867276153993,6.361644536781075e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.04110118765134994,0.0,0.0,0.0,heavy,0.6820000000000005
