material,liberation_state,residual_coating_fraction,size_mm,aerodynamic_size_mm,metal_thickness_mm,coating_thickness_mm,total_thickness_mm,metal_density_kg_m3,coating_density_kg_m3,effective_density_kg_m3,areal_density_kg_m2,suspension_velocity_m_s,eq9_velocity_m_s,physical_particle_mass_kg,source_subfraction,pneumatic_fraction,statistical_mass,mill_fraction,x_m,z_m,vx_m_s,vz_m_s,dynamic_stream,exit_time_s
copper,partial,0.4285703473151971,1.2242388108434183,1.2242388108434183,0.012,0.06257127070801878,0.07457127070801878,8900.0,,2271.2670590150747,0.16937127070801877,1.6684436844039534,1.6304758400642014,2.5384699848343424e-07,1.00-1.50,1.00-1.50,1.6666666666666667e-05,pneumatic_feed,0.02982113651323456,0.0,0.0,0.0,heavy,0.5800000000000004
aluminum,partial,0.05459323625942891,1.3485382402523012,1.3485382402523012,0.0218,0.008582056739982226,0.030382056739982226,2700.0,,2516.663238331086,0.07646140530240247,1.1614916528203192,1.0955082006203831,1.390493003896774e-07,1.00-1.50,1.00-1.50,1.6666666666666667e-05,pneumatic_feed,-0.018253998018161004,0.0,0.0,0.0,heavy,1.7160000000000013
aluminum,partial,0.2375176509099732,1.1732760705031915,1.1732760705031915,0.0218,0.03733777472304779,0.05913777472304779,2700.0,,2290.2124143859633,0.13543806582988446,1.5061552065744146,1.4580246504314893,1.8644089080904346e-07,1.00-1.50,1.00-1.50,1.6666666666666667e-05,pneumatic_feed,0.01086246055476765,0.0,0.0,0.0,heavy,0.7360000000000005
separator,film,,1.12263955215219,1.12263955215219,,,0.0139,,,900.0,0.01251,0.4742371305061027,0.44312183426231666,1.5766597746346437e-08,1.00-1.50,1.00-1.50,1.6666666666666667e-05,pneumatic_feed,-0.02163652103899469,2.25,0.0,0.0,light,4.405999999999737
copper,partial,0.45247020807483074,1.3499400227213891,1.3499400227213891,0.012,0.06606065037892528,0.07806065037892528,8900.0,,2214.4403042995145,0.17286065037892528,1.6901887453608662,1.647185711553986,3.150105431166692e-07,1.00-1.50,1.00-1.50,1.6666666666666667e-05,pneumatic_feed,-0.03231806992250728,0.0,0.0,0.0,heavy,0.5680000000000004
copper,partial,0.07411091997618494,1.1483702996185607,1.1483702996185607,0.012,0.010820194316523,0.022820194316523,8900.0,,5154.215283406237,0.117620194316523,1.4444296867798998,1.3587371232111622,1.5511214232007224e-07,1.00-1.50,1.00-1.50,1.6666666666666667e-05,pneumatic_feed,-0.016472165299221443,0.0,0.0,0.0,heavy,0.7700000000000006
copper,heavily_coated,0.7713023963683,1.4119796276575654,1.4119796276575654,0.012,0.11261014986977179,0.12461014986977179,8900.0,,1760.7726986852524,0.2194101498697718,1.8541822011732734,1.8557644549769614,4.3743504693907267e-07,1.00-1.50,1.00-1.50,1.6666666666666667e-05,pneumatic_feed,-0.012465404651350532,0.0,0.0,0.0,heavy,0.5100000000000003
aluminum,partial,0.08957337331320975,1.3159431236831334,1.3159431236831334,0.0218,0.014080934284836574,0.035880934284836574,2700.0,,2445.291713794391,0.08773935128991195,1.2385957082279544,1.1735232668534774,1.519387878050758e-07,1.00-1.50,1.00-1.50,1.6666666666666667e-05,pneumatic_feed,-0.012954922318568981,0.0,0.0,0.0,heavy,1.270000000000001
aluminum,partial,0.18290062747067215,1.4168197027744052,1.4168197027744052,0.0218,0.028751978638389658,0.05055197863838966,2700.0,,2330.8482571113236,0.1178289913028194,1.4240181784850436,1.3599425897768822,2.365273331715023e-07,1.00-1.50,1.00-1.50,1.6666666666666667e-05,pneumatic_feed,0.04165671246717804,0.0,0.0,0.0,heavy,0.8060000000000006
other_light,unresolved_nonmetal,,1.3529461678834722,0.10908169852937769,,,,,,1100.0,,0.27887741799855553,,1.4263721745919467e-06,1.00-1.50,1.00-1.50,1.6666666666666667e-05,pneumatic_feed,-0.0010254442268241872,2.25,0.0,0.0,light,3.037999999999887
separator,film,,1.4379812803942653,1.4379812803942653,,,0.0139,,,900.0,0.01251,0.4754986821187248,0.44312183426231666,2.586805493618178e-08,1.00-1.50,1.00-1.50,1.6666666666666667e-05,pneumatic_feed,0.001277670405206495,2.25,0.0,0.0,light,4.419999999999735
aluminum,partial,0.1281286072056299,1.0126721990848417,1.0126721990848417,0.0218,0.020141817052725025,0.041941817052725025,2700.0,,2388.307214330833,0.10016994424916714,1.3060133304399846,1.2539008911931309,1.0272477695425194e-07,1.00-1.50,1.00-1.50,1.6666666666666667e-05,pneumatic_feed,-0.02309512143208797,0.0,0.0,0.0,heavy,1.0420000000000007
