material,liberation_state,residual_coating_fraction,size_mm,aerodynamic_size_mm,metal_thickness_mm,coating_thickness_mm,total_thickness_mm,metal_density_kg_m3,coating_density_kg_m3,effective_density_kg_m3,areal_density_kg_m2,suspension_velocity_m_s,eq9_velocity_m_s,physical_particle_mass_kg,source_subfraction,pneumatic_fraction,statistical_mass,mill_fraction,x_m,z_m,vx_m_s,vz_m_s,dynamic_stream,exit_time_s
other_light,unresolved_nonmetal,,1.7062472510250084,0.19645186329441228,,,,,,1100.0,,0.6665416840944207,,2.8609956765876077e-06,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,-0.010115570285224083,0.6131479801485034,4.371930198376307e-65,-0.23600630873900347,active,
copper,partial,0.23291809660923146,1.9708422344418384,1.9708422344418384,0.012,0.0340060421049478,0.0460060421049478,8900.0,,3060.5989053295366,0.1408060421049478,1.5750203810914074,1.4866376952301663,5.469215199783268e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,-0.02585685520197473,0.0,0.0,0.0,heavy,0.6400000000000005
separator,film,,1.652425030933105,1.652425030933105,,,0.0139,,,900.0,0.01251,0.4760849406607913,0.44312183426231666,3.4158661120506957e-08,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,0.03200429926594669,2.25,0.0,0.0,light,4.423999999999735
aluminum,partial,0.11525636001460304,1.842595012973445,1.842595012973445,0.0218,0.0181182997942956,0.0399182997942956,2700.0,,2405.408134292072,0.09601980303230817,1.3026582815086967,1.2276509391496873,3.2600224704764336e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,-0.018689608190665754,0.0,0.0,0.0,heavy,1.0400000000000007
aluminum,partial,0.06247854650765927,1.879437491222947,1.879437491222947,0.0218,0.009821627511004037,0.03162162751100404,2700.0,,2498.4074001896915,0.07900370817953442,1.187139113818225,1.1135718223742788,2.7906363573773564e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,-0.02529316057814853,0.0,0.0,0.0,heavy,1.5120000000000011
other_light,unresolved_nonmetal,,1.898955897544137,0.15786132630572813,,,,,,1100.0,,0.4894818507401091,,3.9439912531662906e-06,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,0.02208392548925832,2.25,0.0,0.0,light,4.611999999999714
separator,film,,1.8262121007746568,1.8262121007746568,,,0.0139,,,900.0,0.01251,0.47646018250172545,0.44312183426231666,4.1721483469067476e-08,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,-0.021186809566902193,2.25,0.0,0.0,light,4.431999999999734
copper,partial,0.41324792363162316,1.8605092114033364,1.8605092114033364,0.012,0.06033419685021699,0.07233419685021698,8900.0,,2310.583432567906,0.16713419685021697,1.6909403572034105,1.619672298263141,5.785341074570775e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,0.014073593625052163,0.0,0.0,0.0,heavy,0.5560000000000004
copper,heavily_coated,0.7072058364106047,1.5853407800676766,1.5853407800676766,0.012,0.10325205211594829,0.11525205211594829,8900.0,,1822.545006874388,0.2100520521159483,1.8387014974257367,1.8157579712097989,5.279249545420927e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,0.01218676935152495,0.0,0.0,0.0,heavy,0.5000000000000003
other_light,unresolved_nonmetal,,1.892909546285718,0.1515011077941893,,,,,,1100.0,,0.4609386700791144,,3.9064376037031455e-06,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,-0.028317073785753683,2.25,0.0,0.0,light,4.315999999999747
