fraction_mm,n_initial,sampled_size_min_mm,sampled_size_max_mm,stage2_flow_m3_h,stage3_flow_m3_h,stage2_light_al_purity,final_al_purity,final_al_recovery,stage2_heavy_cu_purity,final_cu_purity,final_cu_recovery,stage1_middlings,metal_middlings
0.25-1.00,1200,0.2518768259956414,0.9994415173154326,75.0,60.0,1.0,1.0,0.48439821693907875,,0.46261682242990654,0.4541284403669725,13,351
1.00-1.50,1200,1.0010256779920435,1.4996152226744506,84.0,65.0,0.8872017353579176,0.8872017353579176,0.711304347826087,,0.6776315789473685,0.3074626865671642,5,297
1.50-2.00,1200,1.5002541541915624,1.9995797215566968,89.0,70.0,0.7914438502673797,0.7914438502673797,0.7956989247311828,,0.8,0.138801261829653,10,259
