material,liberation_state,residual_coating_fraction,size_mm,aerodynamic_size_mm,metal_thickness_mm,coating_thickness_mm,total_thickness_mm,metal_density_kg_m3,coating_density_kg_m3,effective_density_kg_m3,areal_density_kg_m2,suspension_velocity_m_s,eq9_velocity_m_s,physical_particle_mass_kg,source_subfraction,pneumatic_fraction,statistical_mass,mill_fraction,x_m,z_m,vx_m_s,vz_m_s,dynamic_stream,exit_time_s
copper,partial,0.28154057244433717,1.4253605885627552,1.4253605885627552,0.012,0.04110492357687323,0.05310492357687323,8900.0,,2785.145210928891,0.14790492357687324,1.5931645390742777,1.523652086423473,3.00491453217373e-07,1.00-1.50,1.00-1.50,1.6666666666666667e-05,pneumatic_feed,-0.004274502191330217,0.5115091390842197,-3.794712316120923e-33,-0.28975361360905993,active,
copper,heavily_coated,0.6532558760956615,1.3249239109523625,1.3249239109523625,0.012,0.09537535790996657,0.10737535790996657,8900.0,,1882.8841351056462,0.2021753579099666,1.7909172767259232,1.781388339962636,3.549033480755244e-07,1.00-1.50,1.00-1.50,1.6666666666666667e-05,pneumatic_feed,-0.010716487041044451,0.0,0.0,0.0,heavy,2.0959999999999908
copper,partial,0.35034454445335955,1.3546537716499019,1.3546537716499019,0.012,0.051150303490190493,0.06315030349019049,8900.0,,2501.180433989931,0.15795030349019049,1.6321809883137035,1.574543731873469,2.898525234739608e-07,1.00-1.50,1.00-1.50,1.6666666666666667e-05,pneumatic_feed,-0.02463107050777311,0.11965676198977193,-1.718699672940675e-32,-0.2847078203298724,active,
aluminum,partial,0.21644178748542645,1.217217163051957,1.217217163051957,0.0218,0.03402464899270904,0.05582464899270904,2700.0,,2304.412101542774,0.12864299670317633,1.473982322225593,1.4209787036592265,1.9059973086594867e-07,1.00-1.50,1.00-1.50,1.6666666666666667e-05,pneumatic_feed,0.025564729878863934,0.5366884011023509,-1.4667776466162498e-35,-0.29168602967193225,active,
aluminum,partial,0.25357109758636587,1.1363202752547399,1.1363202752547399,0.0218,0.03986137654057672,0.06166137654057672,2700.0,,2280.4203451456883,0.14061385757282022,1.5293093323446523,1.4856228015425,1.8156395500186577e-07,1.00-1.50,1.00-1.50,1.6666666666666667e-05,pneumatic_feed,0.009433959009075142,0.5251954981421172,1.2442768124637695e-34,-0.2918697145281256,active,
copper,partial,0.29021417030716556,1.253935540586062,1.253935540586062,0.012,0.04237126886484617,0.05437126886484617,8900.0,,2743.5679170123817,0.14917126886484616,1.5909538049456207,1.5301608530159911,2.345500919947223e-07,1.00-1.50,1.00-1.50,1.6666666666666667e-05,pneumatic_feed,-0.010550647412029433,0.5122244625323196,3.061642341973779e-33,-0.29028826896823917,active,
aluminum,heavily_coated,0.37183446611767623,1.1487036834569033,1.1487036834569033,0.0218,0.0584523780736987,0.0802523780736987,2700.0,,2227.262973526512,0.17874315022099999,1.7004592073531017,1.6749783538508238,2.358551888178281e-07,1.00-1.50,1.00-1.50,1.6666666666666667e-05,pneumatic_feed,-0.02837836223318237,0.0,0.0,0.0,heavy,4.267999999999752
copper,partial,0.1329622145645093,1.2287978549150824,1.2287978549150824,0.012,0.019412483326418355,0.031412483326418356,8900.0,,4017.9084860913185,0.12621248332641835,1.4880850883243335,1.407491079293742,1.905738031583069e-07,1.00-1.50,1.00-1.50,1.6666666666666667e-05,pneumatic_feed,-0.025972791161891974,0.5336980201605308,-5.8986723942071184e-36,-0.2918182740521235,active,
aluminum,partial,0.22391747500498108,1.175827584121586,1.175827584121586,0.0218,0.03519982707078303,0.05699982707078303,2700.0,,2299.1865037346965,0.13105323311635594,1.4841763238435604,1.4342285546572844,1.8119033502983824e-07,1.00-1.50,1.00-1.50,1.6666666666666667e-05,pneumatic_feed,-0.029049305485957046,0.53452349672141,2.3784206996035225e-35,-0.29173186686128,active,
copper,partial,0.22911358654932268,1.2862352032326005,1.2862352032326005,0.012,0.03345058363620111,0.04545058363620111,8900.0,,3085.7817967488627,0.1402505836362011,1.5542062076916925,1.4837025176071559,2.3203070554269563e-07,1.00-1.50,1.00-1.50,1.6666666666666667e-05,pneumatic_feed,-0.0141996757234811,0.5202209522978791,-1.7534552861848537e-34,-0.2919486654483491,active,
copper,partial,0.20113921250234057,1.1131256379978396,1.1131256379978396,0.012,0.029366325025341724,0.041366325025341724,8900.0,,3291.7191687181266,0.1361663250253417,1.5288221764564813,1.461939341285323,1.6871670609575451e-07,1.00-1.50,1.00-1.50,1.6666666666666667e-05,pneumatic_feed,-0.018691689560412582,0.5252932606664824,6.119657897875635e-34,-0.29192017687921323,active,
copper,partial,0.17605693923227128,1.4206214068761356,1.4206214068761356,0.012,0.0257043131279116,0.0377043131279116,8900.0,,3514.3012068245803,0.1325043131279116,1.5232772031853639,1.4421469061283947,2.674155911764772e-07,1.00-1.50,1.00-1.50,1.6666666666666667e-05,pneumatic_feed,0.02978321564764062,0.5264177201383485,-4.2606192454547095e-35,-0.2919156439398906,active,
aluminum,heavily_coated,0.30841779934964625,1.1201428691515023,1.1201428691515023,0.0218,0.048483278057764395,0.0702832780577644,2700.0,,2252.2709108448007,0.15829698268831943,1.6103442884939279,1.5762707382540164,1.986183976078703e-07,1.00-1.50,1.00-1.50,1.6666666666666667e-05,pneumatic_feed,-0.00317606762993272,0.3874371779423565,-3.707475223008233e-33,-0.2656802167321874,active,
aluminum,heavily_coated,0.34186495006321216,1.4382318341847853,1.4382318341847853,0.0218,0.053741170149936957,0.07554117014993696,2700.0,,2238.258663643713,0.16908067854988024,1.6796122896941088,1.629076526906861,3.497452111502385e-07,1.00-1.50,1.00-1.50,1.6666666666666667e-05,pneumatic_feed,-0.01649353052706533,0.0,0.0,0.0,heavy,5.3079999999996375
copper,partial,0.36041093654580375,1.4004510972293445,1.4004510972293445,0.012,0.05261999673568735,0.06461999673568734,8900.0,,2467.0381428175674,0.15941999673568735,1.6404644502153638,1.5818521640037506,3.1266458501483955e-07,1.00-1.50,1.00-1.50,1.6666666666666667e-05,pneumatic_feed,0.03593146001251925,0.0,0.0,0.0,heavy,11.554000000000528
copper,heavily_coated,0.7536016693050898,1.4810280495032726,1.4810280495032726,0.012,0.1100258437185431,0.1220258437185431,8900.0,,1776.8846099409857,0.21682584371854313,1.8524850505442163,1.8448030905780306,4.7559536403600543e-07,1.00-1.50,1.00-1.50,1.6666666666666667e-05,pneumatic_feed,0.010696823316417525,0.0,0.0,0.0,heavy,1.5440000000000011
aluminum,heavily_coated,0.328773218304867,1.4123695273727899,1.4123695273727899,0.0218,0.051683149917525095,0.0734831499175251,2700.0,,2243.5044428376436,0.16485977331367216,1.6592600071009953,1.6086140002907467,3.288602450389006e-07,1.00-1.50,1.00-1.50,1.6666666666666667e-05,pneumatic_feed,0.01960923169756774,0.0,0.0,0.0,heavy,7.28399999999942
copper,heavily_coated,0.6723777169731395,1.0347983970669297,1.0347983970669297,0.012,0.09816714667807837,0.11016714667807836,8900.0,,1860.5106227995263,0.20496714667807836,1.7650374850620751,1.7936455430934837,2.19480403536493e-07,1.00-1.50,1.00-1.50,1.6666666666666667e-05,pneumatic_feed,0.03382686641138596,0.0,0.0,0.0,heavy,2.493999999999947
aluminum,partial,0.2214134853994858,1.0833094529843597,1.0833094529843597,0.0218,0.03480619990479917,0.05660619990479917,2700.0,,2300.912657035749,0.13024592182764821,1.474530230114491,1.4298041785527018,1.5285132208563704e-07,1.00-1.50,1.00-1.50,1.6666666666666667e-05,pneumatic_feed,-0.010192696448463314,0.5365714851516864,-1.7920257257487806e-36,-0.2916884120833327,active,
copper,partial,0.16653622648121058,1.044353911230001,1.044353911230001,0.012,0.024314289066256742,0.03631428906625674,8900.0,,3610.5426386575805,0.13111428906625675,1.503566275698213,1.4345626097120914,1.430030892769264e-07,1.00-1.50,1.00-1.50,1.6666666666666667e-05,pneumatic_feed,0.011769722244404557,0.5304645408975918,9.615297518723818e-35,-0.2918641997543632,active,
