material,liberation_state,residual_coating_fraction,size_mm,aerodynamic_size_mm,metal_thickness_mm,coating_thickness_mm,total_thickness_mm,metal_density_kg_m3,coating_density_kg_m3,effective_density_kg_m3,areal_density_kg_m2,suspension_velocity_m_s,eq9_velocity_m_s,physical_particle_mass_kg,source_subfraction,pneumatic_fraction,statistical_mass,mill_fraction,x_m,z_m,vx_m_s,vz_m_s,dynamic_stream,exit_time_s
copper,partial,0.24985923116437092,1.6691284147919387,1.6691284147919387,0.012,0.03647944774999816,0.048479447749998156,8900.0,,2955.467819866071,0.14327944774999815,1.58019826771069,1.4996380269531615,3.991750606478374e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,-0.02055984841684229,0.5390221054301844,1.8473366444023753e-33,-0.291254473110676,active,
copper,heavily_coated,0.711677791313105,1.6678407307498992,1.6678407307498992,0.012,0.10390495753171333,0.11590495753171333,8900.0,,1817.9115200836973,0.21070495753171334,1.8467293535712548,1.8185777446724056,5.861164428831517e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,0.010078764164291508,0.0,0.0,0.0,heavy,3.5159999999998344
copper,partial,0.377603898999633,1.9751438496358065,1.9751438496358065,0.012,0.05513016925394641,0.06713016925394641,8900.0,,2412.181751566595,0.1619301692539464,1.6720307380815604,1.5942571739245657,6.317208795006495e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,0.016243246576179156,0.5213933679707229,8.38849991271382e-32,-0.2910264896862513,active,
copper,heavily_coated,0.5396677828924734,1.7523754494120347,1.7523754494120347,0.012,0.07879149630230112,0.09079149630230111,8900.0,,2044.1506513380075,0.18559149630230112,1.7608016328319278,1.7067642268224743,5.699180259117468e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,0.02186021937125822,0.07485997621230296,-4.214666101013737e-30,-0.2857482697111396,active,
copper,partial,0.3715325553822505,1.8993953342420276,1.8993953342420276,0.012,0.054243753085808574,0.06624375308580857,8900.0,,2431.0783369595806,0.16104375308580857,1.6660654002921542,1.5898876527713683,5.809979724771952e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,0.01167064698846104,0.5224948875317716,-1.1897196600166146e-31,-0.29104887702302107,active,
copper,partial,0.3903509564543176,1.7251681952470834,1.7251681952470834,0.012,0.05699123964233037,0.06899123964233037,8900.0,,2374.0874999705666,0.16379123964233036,1.6722308691151362,1.60339243400548,4.874763558269797e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,0.0355205331759585,0.5213565355412602,1.4326388720841128e-31,-0.2910231522855212,active,
aluminum,heavily_coated,0.3741209572745534,1.534122314963802,1.534122314963802,0.0218,0.05881181448355981,0.08061181448355981,2700.0,,2226.476838224408,0.17948033783488876,1.7304582705180303,1.6784288434891763,4.2241258874937794e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,0.01871422743901164,0.4514862508085201,-2.21367876396344e-30,-0.25898413849658364,active,
copper,heavily_coated,0.7072058364106047,1.5853407800676766,1.5853407800676766,0.012,0.10325205211594829,0.11525205211594829,8900.0,,1822.545006874388,0.2100520521159483,1.8387014974257367,1.8157579712097989,5.279249545420927e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,0.02821458513280472,0.0,0.0,0.0,heavy,3.5679999999998286
copper,partial,0.3843201177057071,1.8292814726909516,1.8292814726909516,0.012,0.056110737185033246,0.06811073718503324,8900.0,,2391.8510343304797,0.16291073718503324,1.6720076483933544,1.5990768996068583,5.451434275889636e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,-0.045367398821938916,0.5213976323631103,-2.801586573064266e-31,-0.29102519038543406,active,
copper,heavily_coated,0.5913026160929946,1.8826198902705404,1.8826198902705404,0.012,0.08633018194957721,0.09833018194957721,8900.0,,1964.0986940165792,0.1931301819495772,1.7955026477766938,1.7410833799334724,6.845031250605991e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,-0.019234677009811806,0.0,0.0,0.0,heavy,6.065999999999554
