stream,parcels,Al,Cu,black_mass,separator,other_light
Stage 1 light/nonmetal-rich,285,0,0,0,161,124
Final heavy product (Cu-intended),152,49,103,0,0,0
Final light product (Al-intended),461,409,52,0,0,0
Metal middlings/recycle,297,117,180,0,0,0
Stage 1 middlings/recycle,5,0,0,0,0,5
