stream,parcels,Al,Cu,black_mass,separator,other_light
Stage 1 light/nonmetal-rich,315,0,0,0,176,139
Final heavy product (Cu-intended),55,11,44,0,0,0
Final light product (Al-intended),561,444,117,0,0,0
Metal middlings/recycle,259,103,156,0,0,0
Stage 1 middlings/recycle,10,0,0,0,0,10
