material,liberation_state,residual_coating_fraction,size_mm,aerodynamic_size_mm,metal_thickness_mm,coating_thickness_mm,total_thickness_mm,metal_density_kg_m3,coating_density_kg_m3,effective_density_kg_m3,areal_density_kg_m2,suspension_velocity_m_s,eq9_velocity_m_s,physical_particle_mass_kg,source_subfraction,pneumatic_fraction,statistical_mass,mill_fraction,x_m,z_m,vx_m_s,vz_m_s,dynamic_stream,exit_time_s
aluminum,partial,0.08591546136881895,1.9339929592395741,1.9339929592395741,0.0218,0.013505910527178339,0.03530591052717834,2700.0,,2451.7142486181565,0.08656000389992091,1.240893056625329,1.1656096350035714,3.237628726055529e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,-0.002476830243059716,2.25,0.0,0.0,light,2.049999999999996
copper,partial,0.18074390325740552,1.6561441973653985,1.6561441973653985,0.012,0.02638860987558121,0.03838860987558121,8900.0,,3469.482492521871,0.1331886098755812,1.5321000776311346,1.445865976018221,3.653115308604254e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,0.022744981018412398,2.25,0.0,0.0,light,3.4039999999998467
copper,partial,0.2950256636569535,1.8645091268015164,1.8645091268015164,0.012,0.043073746893915216,0.05507374689391521,8900.0,,2721.328316059678,0.1498737468939152,1.6153717135138224,1.5337595415341,5.210202370126018e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,0.015054734824620764,0.6149077698300904,8.396713887078997e-33,-0.2890930866475865,active,
copper,partial,0.37521182894196475,1.5901840130936447,1.5901840130936447,0.012,0.05478092702552685,0.06678092702552685,8900.0,,2419.566996483336,0.16158092702552684,1.657842847883499,1.5925370421414597,4.085872980443907e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,0.004505851545471976,0.6057764754129421,-5.199457545441053e-34,-0.28893059434265916,active,
aluminum,partial,0.2421379178348776,1.8861959299606634,1.8861959299606634,0.0218,0.03806408068364276,0.05986408068364276,2700.0,,2287.3095940911517,0.13692768608914288,1.5407663243261978,1.466020791412996,4.871524330715469e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,0.001081233631607506,2.25,0.0,0.0,light,3.5699999999998284
copper,partial,0.25493573324685703,1.9953767798608197,1.9953767798608197,0.012,0.03722061705404113,0.04922061705404113,8900.0,,2926.0221767621397,0.14402061705404112,1.590872137998311,1.5035117576128993,5.734221904676327e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,-0.034420467490548834,0.6208924897354324,2.5809000625034034e-34,-0.28629555802711126,active,
aluminum,partial,0.06849542764019095,1.542937837399214,1.542937837399214,0.0218,0.010767481225038018,0.03256748122503802,2700.0,,2485.4120669069175,0.08094361082547397,1.1966764723034873,1.1271605544538186,1.9269898748368107e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,0.014909179533052569,2.25,0.0,0.0,light,1.9120000000000015
copper,partial,0.3027448299172227,1.8348972262333632,1.8348972262333632,0.012,0.044200745167914515,0.05620074516791451,8900.0,,2686.8103744311584,0.1510007451679145,1.6197616826943397,1.5395154095219659,5.08396531323649e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,0.03665620828154346,0.6139476235663558,1.210852900123879e-32,-0.2890789700622042,active,
aluminum,partial,0.18116250319587746,1.928218660813591,1.928218660813591,0.0218,0.028478745502391933,0.05027874550239193,2700.0,,2332.369304039298,0.11726860265538286,1.433537797665648,1.3567048268797783,4.360078548371975e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,0.026637570365657306,2.25,0.0,0.0,light,2.6599999999999286
aluminum,partial,0.19163122076585265,1.8300080494468367,1.8300080494468367,0.0218,0.030124427904392043,0.05192442790439204,2700.0,,2323.4501901351496,0.12064382188711856,1.450853771898194,1.3760906323132256,4.0402764941025977e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,-0.0005340941968247392,2.25,0.0,0.0,light,2.773999999999916
copper,partial,0.0923646606631785,1.9723817649676376,1.9723817649676376,0.012,0.01348524045682406,0.02548524045682406,8900.0,,4719.800100007134,0.12028524045682405,1.4705501260829204,1.374044080155477,4.6794444726059014e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,0.02523975633945405,2.25,0.0,0.0,light,2.883999999999904
aluminum,heavily_coated,0.3267420292197804,1.9942978596171748,1.9942978596171748,0.0218,0.05136384699334949,0.07316384699334949,2700.0,,2244.3447739383555,0.1642048976407494,1.6794632743031754,1.6054158568324914,6.530796520759535e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,0.0023750659648592723,0.6012592733830937,-2.229392933524142e-31,-0.28882373353109164,active,
aluminum,partial,0.0648751465446456,1.5192627929312097,1.5192627929312097,0.0218,0.010198373036818288,0.03199837303681829,2700.0,,2493.1391325948375,0.07977639599745918,1.1880700028538076,1.1190041606607724,1.8413664103086977e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,0.03589969466871124,2.25,0.0,0.0,light,1.8940000000000015
copper,partial,0.11979402236460435,1.9632492347282673,1.9632492347282673,0.012,0.017489927265232234,0.029489927265232235,8900.0,,4214.6569622695015,0.12428992726523223,1.4917559841590187,1.396730001952806,4.790565775966271e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,0.003582935136749844,2.25,0.0,0.0,light,3.0219999999998888
aluminum,partial,0.1930295112178967,1.61084206377465,1.61084206377465,0.0218,0.030344239163453357,0.05214423916345336,2700.0,,2322.301497815973,0.12109464471176207,1.448095056753307,1.3786593282590944,3.1421785593395093e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,-0.042613340897900406,2.25,0.0,0.0,light,2.7419999999999196
aluminum,partial,0.07194142780025148,1.8359877365982185,1.8359877365982185,0.0218,0.011309192450199533,0.03310919245019953,2700.0,,2478.3037478337706,0.08205463573707908,1.2084299028811583,1.1348698438716192,2.7659394838027374e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,-0.018142716243439588,2.25,0.0,0.0,light,1.9460000000000015
copper,partial,0.3715325553822505,1.8993953342420276,1.8993953342420276,0.012,0.054243753085808574,0.06624375308580857,8900.0,,2431.0783369595806,0.16104375308580857,1.6660654002921542,1.5898876527713683,5.809979724771952e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,0.03072417368721923,0.604048298558777,5.845006719551335e-32,-0.2888970099312148,active,
aluminum,partial,0.09893634689560099,1.8917448914473411,1.8917448914473411,0.0218,0.015552793731988479,0.03735279373198848,2700.0,,2429.7531331608698,0.09075806760261071,1.2688026911347148,1.1935403759783654,3.247957816585299e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,-0.024672299338827405,2.25,0.0,0.0,light,2.119999999999988
aluminum,bare_like,0.038532106797082306,1.780189349446767,1.780189349446767,0.0218,0.006057247188501338,0.027857247188501338,2700.0,,2558.872241399032,0.07128313655244731,1.1289342766475454,1.0577618405516493,2.2590154323249682e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,-0.014889506554638202,2.25,0.0,0.0,light,1.7920000000000014
aluminum,partial,0.2225236666515349,1.7622399689755377,1.7622399689755377,0.0218,0.03498072039762128,0.05678072039762128,2700.0,,2300.14438792842,0.13060385536512137,1.5040861771858958,1.4317674789612123,4.0558892869479645e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,-0.013628681298184168,2.25,0.0,0.0,light,3.127999999999877
copper,partial,0.3434439790690157,1.6124737257158994,1.6124737257158994,0.012,0.050142820944076294,0.06214282094407629,8900.0,,2525.51813000753,0.1569428209440763,1.639128497008684,1.569514102369973,4.0806255839685974e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,-0.013064281497228724,0.6097571400448478,-2.160209683381155e-32,-0.28900804476916564,active,
aluminum,partial,0.1281399602823265,1.8862337564505858,1.8862337564505858,0.0218,0.020143601756381725,0.041943601756381725,2700.0,,2388.2928599326465,0.10017360459462488,1.329804461097797,1.2539238006024258,3.5640544232778035e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,-0.006096844859806426,2.25,0.0,0.0,light,2.303999999999968
aluminum,partial,0.09540531621939391,1.5667701868021773,1.5667701868021773,0.0218,0.01499771570968872,0.03679771570968872,2700.0,,2435.467155334814,0.08961962800229478,1.2563071588705663,1.1860310624616959,2.199954683233886e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,-0.010563472278134055,2.25,0.0,0.0,light,2.0899999999999914
copper,heavily_coated,0.6681418991577218,1.9261562531436478,1.9261562531436478,0.012,0.09754871727702738,0.10954871727702738,8900.0,,1865.3684165034015,0.2043487172770274,1.8391684379960171,1.7909375942171246,7.58149662217839e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,0.006983056849083073,0.5703537904370152,5.728944938521046e-29,-0.28775862027611343,active,
copper,heavily_coated,0.5444012706271798,1.6779168995355773,1.6779168995355773,0.012,0.07948258551156824,0.09148258551156824,8900.0,,2036.2627976666909,0.18628258551156823,1.759757462191748,1.7099390229448461,5.244609453415585e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,-0.016576978607427996,0.5852047502991716,-1.4388617788268452e-29,-0.2883527383136061,active,
copper,partial,0.0998318182334198,1.9844250070622111,1.9844250070622111,0.012,0.014575445462079287,0.026575445462079288,8900.0,,4567.202669670048,0.12137544546207929,1.476515247879278,1.380256857245345,4.779695383294645e-07,1.50-2.00,1.50-2.00,1.6666666666666667e-05,pneumatic_feed,-0.02177275693593524,2.25,0.0,0.0,light,2.9079999999999013
