u_s,size_mm,flow_velocity,duty,low_flow_fraction,outcome
1.170400281940868,1.5224403242159612,2.4403757940757282,0.4,0.35,active
1.1789236414027593,1.852510036888863,2.4403757940757282,0.4,0.35,active
1.6140951172401956,1.7136348485789004,2.4403757940757282,0.4,0.35,heavy
1.1188431535727126,1.9871091834460402,2.4403757940757282,0.4,0.35,active
1.7943502547968633,1.939122197026369,2.4403757940757282,0.4,0.35,heavy
1.1952132756832077,1.7962945665599666,2.4403757940757282,0.4,0.35,active
1.531250216613052,1.5686887768190163,2.4403757940757282,0.4,0.35,active
1.14817824395468,1.7323887805155076,2.4403757940757282,0.4,0.35,active
1.7392623310832835,1.882951070819918,2.4403757940757282,0.4,0.35,heavy
1.4582663037385688,1.5976134768197805,2.4403757940757282,0.4,0.35,active
1.6187197061900034,1.5954611183489007,2.4403757940757282,0.4,0.35,heavy
1.697128552235145,1.7901882662649007,2.4403757940757282,0.4,0.35,heavy
1.2409372296279393,1.5340417426680881,2.4403757940757282,0.4,0.35,active
1.677853994457807,1.877278015819895,2.4403757940757282,0.4,0.35,heavy
1.4297269323527162,1.8380450486661235,2.4403757940757282,0.4,0.35,active
1.6605324576013667,1.89961668820285,2.4403757940757282,0.4,0.35,heavy
1.2918938453298592,1.7125208070445515,2.4403757940757282,0.4,0.35,active
1.5011591288944504,1.9332573952588836,2.4403757940757282,0.4,0.35,active
1.5574781691975104,1.733150435705651,2.4403757940757282,0.4,0.35,active
1.6163344689038217,1.5362917272029,2.4403757940757282,0.4,0.35,heavy
1.5432819897015178,1.780021323179927,2.4403757940757282,0.4,0.35,active
1.758048692139369,1.763744752482667,2.4403757940757282,0.4,0.35,heavy
1.1325255690922338,1.8717916959339969,2.4403757940757282,0.4,0.35,active
1.2512244733844595,1.6177599234312694,2.4403757940757282,0.4,0.35,active
1.5101670272362298,1.7561805846090162,2.4403757940757282,0.4,0.35,active
1.625508948667235,1.773300374209573,2.4403757940757282,0.4,0.35,heavy
1.2300231880461114,1.9790912590520118,2.4403757940757282,0.4,0.35,active
1.7835795049378802,1.9468680070749884,2.4403757940757282,0.4,0.35,heavy
1.4364460008067512,1.6179342891497381,2.4403757940757282,0.4,0.35,active
1.5349867847339598,1.9951417242556364,2.4403757940757282,0.4,0.35,active
1.4642484478848574,1.55451760282737,2.4403757940757282,0.4,0.35,active
1.705304807495186,1.9777454004564343,2.4403757940757282,0.4,0.35,heavy
1.4597361959956887,1.5321789062057147,2.4403757940757282,0.4,0.35,active
1.5674033273175838,1.9327561714061114,2.4403757940757282,0.4,0.35,active
1.1549999699409597,1.6307026541636405,2.4403757940757282,0.4,0.35,active
1.6510629528083738,1.5172550034726702,2.4403757940757282,0.4,0.35,heavy
1.4991832538733574,1.817469249310423,2.4403757940757282,0.4,0.35,active
1.64271106532291,1.7527538851736684,2.4403757940757282,0.4,0.35,heavy
1.2942595640508887,1.5164386311298839,2.4403757940757282,0.4,0.35,active
1.3623452114725563,1.767104070862777,2.4403757940757282,0.4,0.35,active
1.2256045149266974,1.6949171437641382,2.4403757940757282,0.4,0.35,active
1.621274474191547,1.9192889645738753,2.4403757940757282,0.4,0.35,heavy
1.6079669079078294,1.8715666236467101,2.4403757940757282,0.4,0.35,heavy
1.5233241832738966,1.836843635320097,2.4403757940757282,0.4,0.35,active
1.4950504834880765,1.6615877429984232,2.4403757940757282,0.4,0.35,active
1.2837485280768883,1.7813916423817786,2.4403757940757282,0.4,0.35,active
1.1049480048683569,1.7292634582294144,2.4403757940757282,0.4,0.35,active
1.2485113949000468,1.6932757025355363,2.4403757940757282,0.4,0.35,active
1.4194323079619728,1.834249758363034,2.4403757940757282,0.4,0.35,active
1.3963464262665415,1.5292363161414837,2.4403757940757282,0.4,0.35,active
1.170345265875438,1.6703611970096743,2.4403757940757282,0.4,0.35,active
1.4450557874641294,1.846015330034624,2.4403757940757282,0.4,0.35,active
1.728203961114998,1.989304809971432,2.4403757940757282,0.4,0.35,heavy
