u_s,size_mm,flow_velocity,duty,low_flow_fraction,outcome
1.3667929234474427,0.9195096371304672,1.945227082234276,0.4,0.35,heavy
1.4813141965038426,0.9178236244319159,1.945227082234276,0.4,0.35,heavy
1.2920331489732206,0.7407137602559392,1.945227082234276,0.4,0.35,heavy
1.6267810442185646,0.5820022540700216,1.945227082234276,0.4,0.35,heavy
1.1760327327752147,0.6171919420811873,1.945227082234276,0.4,0.35,active
1.2724240736596866,0.7935662262886269,1.945227082234276,0.4,0.35,active
1.1909605553911196,0.889784498861937,1.945227082234276,0.4,0.35,active
1.598161415023997,0.5491850740242203,1.945227082234276,0.4,0.35,heavy
1.5421147828267008,0.8647622483508373,1.945227082234276,0.4,0.35,heavy
1.489209560699807,0.850958134533887,1.945227082234276,0.4,0.35,heavy
1.3967737671595153,0.9208685027752459,1.945227082234276,0.4,0.35,heavy
1.1522416204778811,0.6756372621935036,1.945227082234276,0.4,0.35,active
1.3100075098373007,0.5659789372969946,1.945227082234276,0.4,0.35,heavy
1.1301347633863355,0.9665880830888831,1.945227082234276,0.4,0.35,active
1.2837278100035803,0.9731430637258796,1.945227082234276,0.4,0.35,heavy
1.3401487509787746,0.8491409368348946,1.945227082234276,0.4,0.35,heavy
1.4175403750681348,0.6298872255975495,1.945227082234276,0.4,0.35,heavy
1.535825873869974,0.7792992796629916,1.945227082234276,0.4,0.35,heavy
1.1590573686629375,0.6425026905833096,1.945227082234276,0.4,0.35,active
1.5945370935264123,0.5804090676066658,1.945227082234276,0.4,0.35,heavy
1.5033264331202838,0.48460389794563763,1.945227082234276,0.4,0.35,heavy
1.493410823462516,0.32418592533687396,1.945227082234276,0.4,0.35,heavy
1.4626145025726855,0.8977570341978611,1.945227082234276,0.4,0.35,heavy
1.4457676899544438,0.94787414212509,1.945227082234276,0.4,0.35,heavy
1.2896111952895122,0.6378137217725646,1.945227082234276,0.4,0.35,heavy
1.4631964174952947,0.6025526827334811,1.945227082234276,0.4,0.35,heavy
1.3620471476915779,0.8402880098809509,1.945227082234276,0.4,0.35,heavy
1.284260650367047,0.9912420268985427,1.945227082234276,0.4,0.35,heavy
1.0677957884211955,0.9508300824836046,1.945227082234276,0.4,0.35,active
1.2634064364437185,0.5144496123159311,1.945227082234276,0.4,0.35,active
1.2974938376368856,0.7474386996992548,1.945227082234276,0.4,0.35,heavy
1.1402923763187705,0.9701773602694259,1.945227082234276,0.4,0.35,active
