u_s,size_mm,flow_velocity,duty,low_flow_fraction,outcome
1.18398742893162,1.3999503773620914,2.263536968418067,0.4,0.35,active
1.3515175238051063,1.0914957997100618,2.263536968418067,0.4,0.35,active
1.3391722255414609,1.2928990351155378,2.263536968418067,0.4,0.35,active
1.2176332595159691,1.2601153898953923,2.263536968418067,0.4,0.35,active
1.5002979497127722,1.1732683684494312,2.263536968418067,0.4,0.35,heavy
1.6976482837537332,1.0217007529326332,2.263536968418067,0.4,0.35,heavy
1.5684039476615126,1.2306054448424213,2.263536968418067,0.4,0.35,heavy
1.4269237696176775,1.1162689556102294,2.263536968418067,0.4,0.35,active
1.3677176724907905,1.0857379233669626,2.263536968418067,0.4,0.35,active
1.3558613089671394,1.2405268358585535,2.263536968418067,0.4,0.35,active
1.6958689811842347,1.460316958223599,2.263536968418067,0.4,0.35,heavy
1.3257102876710654,1.4254649789231246,2.263536968418067,0.4,0.35,active
1.558476093756612,1.21888108949359,2.263536968418067,0.4,0.35,heavy
1.1291324507433913,1.2385331581535561,2.263536968418067,0.4,0.35,active
1.2944479168519278,1.2618698727837312,2.263536968418067,0.4,0.35,active
1.2176303885784183,1.4668247755176371,2.263536968418067,0.4,0.35,active
1.668660018544993,1.1356772988514248,2.263536968418067,0.4,0.35,heavy
1.413083043867995,1.204903611970402,2.263536968418067,0.4,0.35,active
1.5861646385123278,1.138287124252704,2.263536968418067,0.4,0.35,heavy
1.4653883562081105,1.0803791618211616,2.263536968418067,0.4,0.35,active
1.4342651353871163,1.2023414013821383,2.263536968418067,0.4,0.35,active
1.5499107994028989,1.100398993889377,2.263536968418067,0.4,0.35,heavy
1.3945066733735962,1.0365138217340815,2.263536968418067,0.4,0.35,active
1.6984853499221793,1.2087040883172213,2.263536968418067,0.4,0.35,heavy
1.51597917402781,1.4601286160075733,2.263536968418067,0.4,0.35,heavy
1.6079432639596494,1.267673910544546,2.263536968418067,0.4,0.35,heavy
1.556891705464439,1.0741321394406098,2.263536968418067,0.4,0.35,heavy
1.5227615827419514,1.2048637932406738,2.263536968418067,0.4,0.35,heavy
1.4935157207209109,1.3505616458480945,2.263536968418067,0.4,0.35,heavy
1.4708397025109323,1.4572030606692197,2.263536968418067,0.4,0.35,active
1.748397016392066,1.1512715678610013,2.263536968418067,0.4,0.35,heavy
1.423476467728363,1.2076961439987401,2.263536968418067,0.4,0.35,active
1.3297384512237216,1.1114218573246828,2.263536968418067,0.4,0.35,active
1.4761181161410182,1.3170130452419844,2.263536968418067,0.4,0.35,active
